Tahun ;Bulan;Penjualan(m2)
2019;januari;19754,799
2019;februari ;20306,97
2019;maret;22564,219
2019;april;17228,422
2019;mei;17215,506
2019;juni;7484,731
2019;juli;13162,935
2019;agustus;22108,971
2019;september;7566,064
2019;oktober;17334,122
2019;november;13166,6
2019;desember;5131,98
2020;januari;11649,557
2020;februari ;20315,249
2020;maret;21564,974
2020;april;20157,564
2020;mei;13623,733
2020;juni;2201,76
2020;juli;17171,726
2020;agustus;15765,492
2020;september;10408,452
2020;oktober;20468,35
2020;november;25442,006
2020;desember;9592,034
2021;januari;17184,552
2021;februari ;19078,413
2021;maret;12591,238
2021;april;20522,404
2021;mei;21555,348
2021;juni;28136,956
2021;juli;26371,848
2021;agustus;15486,413
2021;september;38640,043
2021;oktober;28288,027
2021;november;18594,223
2021;desember;21519,452
2022;januari;24740,265
2022;februari ;33493,774
2022;maret;29266,29
2022;april;29181,148
2022;mei;19591,043
2022;juni;14142,26
2022;juli;5631,817
2022;agustus;23100,88
2022;september;20147,824
2022;oktober;11658,198
2022;november;9712,758
2022;desember;9763,238
